public_key,bitclout_amount,reward_transaction_count,is_genesis_account
BC1YLgaJzRrR4CL85uUY8AAz3dfHCvKyitZVFH1pCP19XjWVRV4UZP4,1440.1029378,1,true
BC1YLgN5CqecVxmQaD66VNNGbyPwYbL6B6wtRKKeNpTP6gYrKQojTxr,1436.2025227,1,true
BC1YLjTa3diEYTafYap4QQgXpoZc9vUH17WB9LQKwHjW7pBhUxG9QEb,1279.5898722,1,true
BC1YLg6DARtEsgXXF7GjVXtxVsLo9zCk4fJ7HMQS3wTwmH5xpxVFT9h,1169.43304742,1089,false
BC1YLfniDiewVaiL3vbQgRETdZ5Xhy6QtgweHoa9FM7Ruu4Jb7RdfYT,1100.0000112,1,true
BC1YLiVrR4iNYkGBJWFRuR5hpVH27YUaENoVqeYL9jmcn6b75NmXmpp,1084.711965918,741,true
BC1YLhrexE2C81ERGm6sCUQNSaKqVAUnLF71AcBsG2WwbA8oMbSjcSi,1000.0000193,1,true
BC1YLjQqNR92SReZpAAHCuUJ3UbhBULdBBCNm8F5tKuLHZTPCat4HN6,961.144046915,519,true
BC1YLgFoqrAB6oSDSuvW8tUv2g1gTjmNtd1uNiCyXELEXRwWe5tX2PQ,863,1,true
BC1YLhDJCrLLPBQgw4jX7c3t91icnqjCVTU2koFBRZj1cUESvP6hTSt,820.357772622,447,true
BC1YLj33GgSeuPtX24gxccAEmiKkMAcCKkC7dRnq88WcaVooTrKs2FG,781,1,true
BC1YLfjqZFJnXxJtGeUdtsakKqSQvfvPSRXLs2697RcQHnuZCbiC3Cr,781,1,true
BC1YLhAAA5Lekz25JPSjWf2QKgXDEDf94PatxSng9dmY29ETsQsQzPf,687.1990098,1,true
BC1YLfvDriCDusDjqouuP8kRvowU4Y6jVBba828p4d7ZFSs48AifMv5,560.171977569,441,true
BC1YLhHcAJYaAi6UurvfFUWuQHgfCMHZ561sBiJNQnTJDHXhYeNxPiC,508.0606825,1,true
BC1YLi4aSxPrQT5zbdr3dLazQHxuq3t7KVWEKzu7nhVHnV3vtshpfyA,429.028488635,25,true
BC1YLh7Zm2hucA3wKTU9GaGbDamKCy4khXR5AihbGzGucqwz2yrH6E9,379.9032724,1,true
BC1YLjLPA2soDj2U9uhvFZqaQiLuN7TNTye1S55Hi5jNhz6sA1YvR9y,374.3741303,1,true
BC1YLhSkJo5dhiFK38eFdViXm1tsAVi1ZFdNroG1RoB8NJG4JnDLzNK,366.72538345,210,true
BC1YLfuRocdSnzprDojPXRgNY8gMRSLE2PFukeFnasPPWGVtPKdUdgE,335.2864891,1,true
BC1YLhva4PAwB3FvFx7j6NBRFwgj8aHo29ZXTNa13WhiNetPw1c2ePZ,325.3699027,1,true
BC1YLfmgKvbo5fmZzXV4hcmBsWGbKHU3rvSvGkpvjZTuktF9XhEgc6n,278.7589876,1,true
BC1YLgx2wbwiTECatHNmAUU5sRF7HiFkwp3CiDCz2fSnh19DNdPDeHE,250.123425163,87,false
BC1YLizPWz8s3yyjhXqdKatZiL564wmRV2zsttW3ThMLSoVnvDesTdk,211.60443127,191,false
BC1YLiZueqau9Y1Xz6NKHfkPKSJV8WeBEwhbqzSxMq3HBJtuHgDqtY3,191.935881948,178,false
BC1YLgFuXaux9VwGFSdXoD8E9ymixbuamjagZJt7h72xhJC3NfWbY3f,186.48417275,175,false
BC1YLg2urYbqVg6Ffw3734A2dbhZ55ki6twxcJVakYDowmvZk61ikWX,182.8049067,1,true
BC1YLibQjBKho3DWm71JSz3kkLDy61iyEHfoPidWbdvKSwEZ3EXQLXN,125,1,true
BC1YLiLbF4ZrTCfABtimnpGbpkkPXFbijJ2CUD7a8iwz7Fc13qPMC9M,115.4441153,1,true
BC1YLg4NkdkjDNh99vMDeHciun61q8RZuHCkwyPSwgfDqX3ZcYhjEsq,104.432816778,100,true
BC1YLgobv17TyMgHomgb3xFCgh2NWsvz9VTx2JNdNix3UnuEddbVPsb,102.408669,1,true
BC1YLiw4kahoSZpr4j74k4Wa3BURXEtzQinc5bT5ykPymB7AwVRSJaE,100.5782627,1,true
BC1YLhWhncFqb39FshS2Fk3ozCLX4WDRDqs6GApNEPjvommt4A2Jbw9,91.999013451,79,false
BC1YLgbzDmXnRLBthoWa6JBWYBKGJHXZG23VkZcaXon16uegn8LPesQ,66.050438799,1,true
BC1YLfvSfSZiYbRvyF27fLdG9ktcE4tXbVnKEsDPUw7h188MomybHPG,64.943055937,59,false
BC1YLhHP8VU6Gnm4fdcLRo5upnGDS4sHVyhmGmMYk35pYtb2zE9buNB,53.140006,1,true
BC1YLgpS1JEyEnFQ7pLGyQ7NyktocWjEKWt24gvBiFFNeJ7uitpFXvF,52.0587748,1,true
BC1YLgALyymwAyG8RFqHuzETKDLeTwTC57zS3gQtmcovnNy5GCMfoas,51.224738569,40,false
BC1YLj4xF3WhrV8x4dnRo3bypCKgUcRCyKWtwHH9mrjvCB5UHn8PEfG,45.9555004,1,true
BC1YLgFFAuerYgLt63Gf4GtvP3Bvu73ZU1pKm9iQtnbrjykTF96jdfQ,44.2447539,1,true
BC1YLiDopAG97uGPmYmpKgNyM5x8mqocQqLd9ebwyyBPQdQEGTm7gkB,34.6568133,1,true
BC1YLh7bi2KNLZ8n5z1C3vt7QwR1hziYEf2jT9nR8q5oB7G7MU1Ej9h,34.000020399,1,true
BC1YLgdsZ4xzCSP739KeDKpYcuNccB5jF82Zij4rtJudWj12W99ntHZ,33,1,true
BC1YLg8K8UsZDdtM4PUYrcaeD3SPKQ8FDQZMwKhWcpRPD7cHu52oeX9,30.8933118,1,true
BC1YLiucE2C3ym82xht7UZiXrqx3spPtsjP3PQVthZtMx5faeSuRVA4,26.0000232,1,true
BC1YLg4ydiVKNbrx29SGmZxkrfiogaHrs8TYMmWWo5pib8oVtNfchLF,25.4000164,1,true
